,level_0,index,close,high,low,open,s,t,v
0,49,2018-07-17 07:00:00,6669.0,6683.0,6654.0,6663.5,ok,1531778400.0,87418075.0
1,48,2018-07-17 06:00:00,6663.5,6667.5,6642.5,6660.0,ok,1531774800.0,44113455.0
2,47,2018-07-17 05:00:00,6660.0,6678.0,6656.0,6675.0,ok,1531771200.0,49454682.0
3,46,2018-07-17 04:00:00,6675.0,6684.0,6633.5,6666.0,ok,1531767600.0,98226041.0
4,45,2018-07-17 03:00:00,6666.0,6697.0,6661.0,6668.0,ok,1531764000.0,114057471.0
5,44,2018-07-17 02:00:00,6668.0,6729.0,6617.0,6618.0,ok,1531760400.0,195217696.0
6,43,2018-07-17 01:00:00,6618.0,6639.0,6616.5,6629.5,ok,1531756800.0,64130789.0
7,42,2018-07-17 00:00:00,6629.5,6639.5,6607.0,6623.0,ok,1531753200.0,119205678.0
8,41,2018-07-16 23:00:00,6623.0,6624.5,6586.0,6586.5,ok,1531749600.0,119089062.0
9,40,2018-07-16 22:00:00,6586.5,6607.0,6580.5,6596.5,ok,1531746000.0,104245201.0
10,39,2018-07-16 21:00:00,6596.5,6633.5,6586.0,6621.5,ok,1531742400.0,180649109.0
11,38,2018-07-16 20:00:00,6621.5,6664.5,6527.5,6541.5,ok,1531738800.0,434381471.0
12,37,2018-07-16 19:00:00,6541.5,6550.0,6490.5,6509.5,ok,1531735200.0,231142032.0
13,36,2018-07-16 18:00:00,6509.5,6540.0,6360.5,6361.5,ok,1531731600.0,483186206.0
14,35,2018-07-16 17:00:00,6361.5,6380.5,6343.0,6356.5,ok,1531728000.0,94335126.0
15,34,2018-07-16 16:00:00,6356.5,6357.0,6351.0,6354.0,ok,1531724400.0,34655803.0
16,33,2018-07-16 15:00:00,6354.0,6369.5,6354.0,6358.0,ok,1531720800.0,42073619.0
17,32,2018-07-16 14:00:00,6358.0,6362.0,6349.5,6350.0,ok,1531717200.0,30866206.0
18,31,2018-07-16 13:00:00,6350.0,6355.5,6343.5,6355.5,ok,1531713600.0,19830954.0
19,30,2018-07-16 12:00:00,6355.5,6359.0,6349.5,6352.0,ok,1531710000.0,18714233.0
20,29,2018-07-16 11:00:00,6352.0,6352.5,6338.0,6347.5,ok,1531706400.0,35455519.0
